GeneName	logFC	logCPM	F	PValue	FDR
Rps27rt	-1.55466036088777	11.3023010450201	138.948598783514	4.22468499511804e-26	5.99229319707543e-22
Cxcl10	-2.58787316218921	9.69209574592787	109.635928675598	1.0131917866262e-21	7.18555615075302e-18
Gm42418	2.64525213394258	10.4993384351867	98.6008549061141	5.57195515976579e-20	2.63442039953727e-16
Ly6k	-2.29544494224929	9.57967442787934	128.302928994113	1.54088378047632e-17	5.46397388556903e-14
Wdr89	-1.13061631677376	11.0918532551789	75.6749017179299	3.49105239380232e-16	9.90341743073842e-13
Atrx	1.63632216310326	9.81837105390129	56.6148441995642	8.12521109889791e-13	1.92079990377947e-09
Ptprc	1.28507990833449	10.6407618544228	55.9063710495018	1.09414619905551e-12	2.21705281248619e-09
Cd74	-2.27234377861112	10.5667399703037	47.481430945309	3.98455005949476e-11	7.06460725548421e-08
Prrc2c	1.3591049547408	9.95685021428283	44.0119707336665	1.80717790968822e-10	2.84811238566863e-07
Uba52	-0.8339635942545	11.009475019177	42.297212926341	3.84259531636226e-10	5.45033719672823e-07
a	-1.56441270491103	9.51645379937362	74.4032089872068	5.49039548552321e-10	7.07961541515103e-07
Herpud1	-1.72566592251098	10.2008367621095	41.0987686961884	6.52900569198e-10	7.71728472792036e-07
Bcl11b	1.33885939732947	10.0133774706922	40.774037580376	7.5406226619915e-10	8.22739937212981e-07
Gm8797	-1.39720342774632	9.87341706907	38.2889951749145	2.28416648406274e-09	2.31418695785328e-06
Trf	-1.67661870443741	9.61886181786671	51.2151205540528	7.68552073685853e-09	7.22984492287563e-06
Hspa1a	-2.03123392613503	10.4849409602863	35.4645879748607	8.15549342681966e-09	7.22984492287563e-06
Dnajb1	-1.56607989205568	9.97366478778344	33.6708684867597	1.84382111722202e-08	1.53839757215748e-05
Ssh2	1.41283248222534	9.65646326510161	40.6427055177075	2.32944504085349e-08	1.83560269219255e-05
Ccr10	-1.5386625584844	9.58500099213983	51.4794900710102	3.2720426976005e-08	2.44266598014555e-05
Tnfrsf17	-1.58480626312915	9.55999492479797	56.9959782795279	4.14914184028797e-08	2.94257139313223e-05
Ankrd12	1.14618051787291	9.99999482781842	31.321880253396	5.41526061544465e-08	3.65762174140318e-05
Samd9l	1.44773286097895	9.60580990361025	42.9554187986881	7.22419805731134e-08	4.60231553044028e-05
Serp1	-1.48476497596959	10.2345501937608	30.6270781729558	7.46286359278951e-08	4.60231553044028e-05
Zeb2	1.47847962320593	9.5690209917883	50.752503552797	7.80571678973457e-08	4.61317862273313e-05
Derl3	-1.38390735884924	9.65354308572196	30.3538270379486	8.46831752093853e-08	4.80458462867968e-05
Serinc3	-1.37015920339404	9.83088714392857	30.2588272805343	8.8490388885796e-08	4.82749106136974e-05
Pcm1	1.42401402636243	9.61395828884458	47.4174071827769	9.24230891880447e-08	4.85529295201195e-05
Cd79a	-1.56912669249382	9.76609229110865	29.6962954689951	1.14854859182031e-07	5.81821900942117e-05
Edem1	-1.37702800660064	9.88330960005714	28.8090639357893	1.73515473451067e-07	8.48670163941359e-05
Rps12	0.546823272864033	11.7109874303906	28.4658430300281	2.03631153331917e-07	9.4572297388193e-05
Ly6d	-1.80015930893058	10.0377647547679	28.3953869833007	2.10438611563448e-07	9.4572297388193e-05
Cdk11b	1.22584655647386	9.71364667177544	31.9506292944658	2.13896587194267e-07	9.4572297388193e-05
H2-Eb1	-1.44631432429641	9.60807902901767	39.2530761019194	2.2002861067473e-07	9.4572297388193e-05
Hp1bp3	1.14276450533939	9.79616957615697	26.5882433224808	4.90881635871188e-07	0.000204784268329321
Nme2	-1.22534173425672	9.69575823647093	26.9249761418877	6.82617196782469e-07	0.000276635494833215
Rpl12	0.616732618313843	11.6270414736392	25.8288297508866	7.02211012631158e-07	0.000276671138976676
Mzb1	-1.7543451935881	10.3746028403176	25.4677574427994	8.3289655818979e-07	0.000319292021117946
Creld2	-1.3299025692705	9.65950872013398	30.0591733525694	9.84669586288724e-07	0.000367540879261033
Cacna1s	-1.42452043209434	9.64513189675469	36.4231032932559	1.16833215310551e-06	0.000424913416914065
Mycbp2	1.07258045882846	9.84598996463906	24.5025426623621	1.31631778097881e-06	0.000466766285135086
Tpr	1.08653566383845	9.89629249570826	24.2618789213722	1.47592694072967e-06	0.000510598725056332
Tln1	1.01643493513617	9.8855339143061	23.9626961617207	1.70190723592477e-06	0.000558937840619893
Stat4	1.19497238705102	9.82648777224224	23.9265085448745	1.73151241756865e-06	0.000558937840619893
Cnot4	1.22223207811607	9.65570949601297	30.5183457573611	1.73387373006735e-06	0.000558937840619893
Arap2	1.26313792738033	9.62422684304126	33.4438806080838	1.95325420893764e-06	0.000600317924793958
Cntrl	1.14033574886442	9.6985937373937	23.7948836547604	1.96783841183077e-06	0.000600317924793958
Rps28	-0.497808408395222	12.1502375563357	23.6343596742282	1.99039906644453e-06	0.000600317924793958
Rel	1.24777008699725	9.63736094164056	27.3773590331831	2.06798792846236e-06	0.000600317924793958
Xbp1	-1.48081298473829	10.2726362315754	23.548319979566	2.07385633917823e-06	0.000600317924793958
Top2b	1.24466324148231	9.63293440767701	33.8410736261197	2.31027873840542e-06	0.000649252066570506
Stag2	1.25971590627793	9.59024559942024	37.3609331504369	2.33445116998702e-06	0.000649252066570506
Nsd1	1.22500258383041	9.64557627199279	30.3358381070514	2.63316833497536e-06	0.000718247301217124
Cd226	1.21971997031987	9.64745258025213	29.1943695830946	2.71496081838367e-06	0.000726584985810452
Gm11808	-0.766452501193727	10.5859900499002	22.8535995540641	2.89130506688878e-06	0.000759449464236119
Hes1	-1.42026260483993	9.69862601541297	22.6001529337555	3.26488602730831e-06	0.000841984425660746
Setd2	1.24234199501622	9.59017326989063	36.26762501481	3.65179272663335e-06	0.000914456728335535
St8sia4	1.08194121964256	9.75963680107072	22.3537558478222	3.67484725853959e-06	0.000914456728335535
9930111J21Rik2	1.20893329859711	9.62069178311958	31.176800907687	4.51157312556053e-06	0.00110331298643018
Pik3ca	1.22232326974656	9.53799554234351	46.7666420762198	5.70485065248145e-06	0.00137148477381012
Ddost	-1.20521328452809	9.70583381757788	28.3079192377774	6.52096484508924e-06	0.0015415560893791
Ier5	-1.1261372012481	9.80534332665755	21.0403708906174	6.92104284333447e-06	0.00160931265065338
Sdf2l1	-1.16350767426154	9.86976669187108	20.904611374315	7.39091999653704e-06	0.00169085176178841
Rpl13-ps3	-0.982240492358767	9.83229956795529	20.8140578371512	7.72214388203258e-06	0.00173120261931624
Dock10	1.00011693630215	9.7754533710707	20.7693663461592	7.89110691770078e-06	0.00173120261931624
Zfp639	0.992564209242301	9.48850199750507	48.7476992972224	7.93345813984456e-06	0.00173120261931624
Tram2	-1.29717750862829	9.55755304469629	36.8948357709749	8.22249548229014e-06	0.00176708902910308
Cd81	-1.16918259775563	9.57857214826742	27.4161230280251	1.10228921493086e-05	0.00228830924677401
Tmem176b	-1.28071164896203	9.75557668501658	20.0661830788765	1.11004084944185e-05	0.00228830924677401
Gabpb2	1.18199842339204	9.55832296069654	36.4719595176659	1.11317920211088e-05	0.00228830924677401
Itpr2	1.16172051860709	9.58959586476644	30.443167548463	1.38856872788592e-05	0.00278364522715202
Spen	1.12953265025376	9.52624074725659	45.070108777496	1.40837179207954e-05	0.00278364522715202
Cers2	-1.22494526316043	9.56209658119585	38.3152971428998	1.42963874936106e-05	0.00278364522715202
Ywhae	-0.992925063661151	9.77181153674571	19.542213028063	1.43265536865857e-05	0.00278364522715202
Hspa8	-0.551500563551385	11.577315742979	19.5106275172623	1.45489410731741e-05	0.00278364522715202
Fcer1g	-1.09622738077155	9.70519973092529	21.0953420149389	1.47189362687819e-05	0.00278364522715202
Utrn	1.11278955665943	9.63924974225426	23.840780571725	1.56049314854068e-05	0.00291237300248698
Epb41	1.15534979476393	9.60638633297989	28.2783445292748	1.60192139030469e-05	0.00291734959018784
Txndc5	-1.39991258287335	10.1291743350588	19.279626615443	1.62851721512565e-05	0.00291734959018784
Ncor1	0.930234119916806	9.92908836185481	19.2572087691926	1.64644507130565e-05	0.00291734959018784
Zcchc11	0.985647721868382	9.73987747502723	19.2491596935076	1.6529306269061e-05	0.00291734959018784
Sec11c	-1.070525581253	10.3498445973323	19.217042076331	1.67906779804133e-05	0.00291734959018784
Slc4a7	1.05428514631062	9.5133325610314	54.2746071482039	1.68656702196421e-05	0.00291734959018784
H13	-1.04388448556453	9.78258862323665	19.1607771947299	1.72586794793428e-05	0.00294936276789154
Gm43291	-1.11035954181605	9.51213050456837	40.1181621309082	1.83299935142294e-05	0.00309515033340273
R3hdm2	1.12015211895137	9.51682363990059	47.0955524998733	2.20640499846061e-05	0.00366478268203531
Pdia6	-1.0295460092444	9.84306867275171	18.6444644839323	2.2220199566768e-05	0.00366478268203531
Ncl	0.790210535894457	10.2830511519634	18.5953727357223	2.27614143684499e-05	0.00371089541841487
