GeneName	logFC	logCPM	F	PValue	FDR
Rps27rt	-1.68553013291164	10.7741607269522	119.587571505559	9.00097976250193e-23	1.27669896951327e-18
Jchain	-3.76683843268637	11.546824558289	106.568381501866	7.5858161477964e-21	5.3798608120172e-17
C130026I21Rik	2.36300326297069	8.90999197453521	98.1833947424749	1.44748694390784e-19	6.84371827079626e-16
Ccl17	-2.7981248926068	8.90386060489536	55.7389738780213	1.6048516347555e-12	5.690803896843e-09
Eml4	1.7588357079277	8.8335990868786	53.1480425610128	4.68078619468158e-12	1.32784542770727e-08
St8sia4	1.30260502175289	9.64285316943638	43.1024252016485	3.29108731651402e-10	7.78013041623914e-07
Zc3h12c	1.68114312613591	8.76171705404628	47.1262715205548	6.2385302703862e-10	1.26410447650226e-06
Gm2000	-1.25355877195327	9.59542353744937	41.1486811960851	7.67797851485923e-10	1.36130559068454e-06
Il4i1	-2.13714057307962	8.72417089804023	40.4825952919976	1.02649514334805e-09	1.61775634591653e-06
Fscn1	-1.92366404414722	8.63485375654552	37.6158113468985	6.2786665380538e-09	8.90566061757551e-06
Lyz1	-2.4865676082296	8.89805000562619	34.2121510587684	1.64513454462569e-08	2.12132621645189e-05
4932438A13Rik	1.60525107547921	8.68935748264012	50.7930161448874	1.8514006172122e-08	2.18835552954482e-05
Hspa8	-0.837876817133073	11.3226409186543	33.218888600062	2.57099701091539e-08	2.80515550790953e-05
Wdr89	-0.878662149031485	10.604621110928	32.9528612697015	2.89855509992268e-08	2.80698427438836e-05
Ptprc	1.07900469771985	9.60567919849024	32.9000261830981	2.96846898729734e-08	2.80698427438836e-05
Car2	-1.89611966841842	8.76018411754879	31.445717790865	5.73361897327667e-08	5.08285321980977e-05
Gm8797	-1.30299294963947	9.06183705674832	30.6848048654877	8.10548782913643e-08	6.76283760991007e-05
Huwe1	1.4910804706858	8.71028508479741	41.4311537371858	1.44325042494286e-07	0.000113728133485497
Macf1	1.28837253540003	8.83792837869327	27.9047046738039	3.87411634776638e-07	0.00028921298040378
Herpud1	-1.14008021251933	9.70460120965378	27.0662908854259	4.27811150344988e-07	0.000303403667824666
Ccl22	-2.05978674604622	8.86037562096744	26.9299677558096	4.55743040505402e-07	0.000306945291934594
Junb	-1.30303527769635	10.2333909872374	26.8358992190342	4.76085478183945e-07	0.000306945291934594
Areg	-1.43235123698419	8.60208049444187	30.6216594547597	5.18986016191564e-07	0.000320056419724398
Gm42418	1.71662271566456	10.0156460007325	26.3262086838461	6.03389356625391e-07	0.000356603109765606
Derl3	-1.43031768744299	8.59144137136754	40.9105775039236	6.62897009128602e-07	0.000376101247099204
Hspa1a	-1.86147878933659	9.60944543791397	26.0133679026698	6.9806357438425e-07	0.000380820528425623
Nktr	1.11920705274519	9.14979660862608	25.0093730702357	1.1161371194692e-06	0.000578671799960368
Iqgap1	0.984750001509842	9.36145747839385	24.9220326468192	1.16278267873401e-06	0.000578671799960368
Uba52	-0.727424513956833	10.4590093596334	24.8850422356518	1.1831276225924e-06	0.000578671799960368
Dusp6	-1.51947558976271	8.64626753439217	40.5811334212943	1.3382703870396e-06	0.000632734238992323
Aff1	1.45446922488788	8.62944412074211	46.361170687123	1.48154736247587e-06	0.000677879606108315
Rpl13-ps3	-1.05096624402659	9.14605303216283	24.177256797461	1.64987801956496e-06	0.000729989884043816
Chd2	1.19767408583744	8.97708660876264	24.0814986075796	1.72596567684545e-06	0.000729989884043816
Fam46a	-1.355566758096	8.69443504660816	26.5606643248594	1.74983474742596e-06	0.000729989884043816
Cxcl2	-1.64633949199679	8.80740794169921	23.9378662523899	1.84680165144281e-06	0.000746438459818568
Gm26522	-1.38419786384553	8.66226239624257	31.04235143039	1.89451385740753e-06	0.000746438459818568
Dnajb1	-1.49381826245686	9.39664370246147	23.5471870836889	2.22059578953051e-06	0.000851268396721644
Ahnak	1.24649644027038	9.06241560634347	23.3096381164608	2.48441834372405e-06	0.000927341836510052
Hook3	1.35049814632694	8.66109328312018	31.5105052943224	3.6899634889384e-06	0.00134201133659237
Smarca5	1.04676987166805	8.96296179043477	22.2492289205178	4.10804684084285e-06	0.00145671340976287
Gm11808	-0.760108577869332	9.96447440409385	21.8157172813705	5.05002768369777e-06	0.00174706323574559
Tpr	1.05110724804332	8.99005612470953	21.5756413881988	5.66291210860333e-06	0.00191244631781975
