GeneName	logFC	logCPM	F	PValue	FDR
Rps27rt	-1.67447057476925	10.3774356985901	91.3587309537532	1.74749943859448e-18	2.47865320370241e-14
Gm42418	3.09868579549837	10.882472410616	70.3869857429354	4.65532085232375e-15	3.301553548468e-11
Wdr89	-1.17312177978262	10.4557070822098	49.7629865077163	1.9497027709307e-11	9.21819470096037e-08
Il10	-2.2647928683328	9.24217663479682	45.6939357940462	1.09253610958592e-10	3.87413304459168e-07
Hspb1	-2.09478037629338	8.8893148032498	42.5067066006871	4.29803677085211e-10	1.21926707115533e-06
Gm2000	-1.27053507829239	9.46620589148078	40.5394131717975	1.01001149517933e-09	2.24172204123088e-06
Cxcl1	-2.32320446605137	9.86454722152284	40.0519708133094	1.24949730125847e-09	2.24172204123088e-06
Nme2	-1.52603480512608	8.96966050036315	42.5031299352032	1.26436663351996e-09	2.24172204123088e-06
Ccl5	-1.00836349320424	11.7702111611543	38.7491042802483	2.21139442348501e-09	3.48515761141238e-06
Dusp6	-1.71893464390967	8.86638499414427	49.3704247855131	2.68921964388254e-09	3.71454667000422e-06
Ifi205	-1.72655076683559	8.90053554419079	40.2534175290861	2.88071160251314e-09	3.71454667000422e-06
Hjurp	1.80808915945692	9.22923747992356	36.5581023874503	5.81741968005548e-09	6.67598710486659e-06
Gm12840	-1.99138843523704	9.09136264688946	36.4442880054982	6.11871350558838e-09	6.67598710486659e-06
Nfkbia	-1.64807165909889	10.3460010216417	34.8052105546306	1.26968106363992e-08	1.28636830047633e-05
Eif3f	-1.07434739015465	9.794712059829	34.2396751006599	1.63537308710954e-08	1.54640879117078e-05
Slco3a1	1.45851147245171	9.13803578205255	33.3660313105588	2.42088498877564e-08	2.1461145425496e-05
Ccl24	2.07298681892744	9.31417861190884	32.4305035953912	3.69102656260737e-08	2.96824603683183e-05
Dennd1b	1.60057186412814	8.94044091000585	39.7190040748501	3.76680969141095e-08	2.96824603683183e-05
Unc13d	-1.50451054465268	8.78388964052604	56.3704568562217	3.9999284283794e-08	2.98605183305966e-05
Hist1h1e	1.66221262980734	8.84485121550361	48.7329334401136	5.49890156213626e-08	3.89982098786704e-05
Specc1l	1.49429292685265	8.91599524582208	36.1976042421037	1.49998285990541e-07	0.000101313128023325
Uba52	-0.93639969249463	10.1821703731901	29.2093061069007	1.5993839811879e-07	0.000103116647223496
Il22ra2	1.49801228047289	8.88786496691031	28.3269934477708	2.39930487409092e-07	0.000147964088409155
1500002C15Rik	1.40584374411882	8.76855682279622	44.3004394137248	3.19185686834716e-07	0.000188638740919317
Scaf11	1.37061776216291	8.98598145617917	27.2915735927912	3.87037040159958e-07	0.000219589335105154
Gpr84	-1.50665832842266	8.78761791035743	46.5428279882677	6.0012307607095e-07	0.000327390219653475
Gdf15	-1.73501298898558	9.1151056854323	25.3857940612639	9.39297282855052e-07	0.000493444172593187
Rpl13-ps3	-1.12642752364636	9.09068152681197	23.9127233880842	1.87511346307232e-06	0.000949878905722063
Hk3	1.40493820673691	8.79863250284501	46.4943689472743	2.4244517273817e-06	0.00118580770004076
Jchain	-1.37844370254245	10.9451271829817	22.8761321578934	3.05991072166635e-06	0.00144672578920385
Tnip3	-1.62066091872572	9.00126575188251	22.7401615709732	3.26358814753371e-06	0.0014932494930522
Susd6	1.24406951680818	9.07632458711652	22.4641550461541	3.72022957455323e-06	0.00164899175892072
Marcksl1	-1.46847766266854	9.52699466686383	22.0368825113427	4.55812398283761e-06	0.00195916456280511
Smarca5	1.22223807154867	9.17597791433876	21.9434986704826	4.7653476091951e-06	0.0019879908967301
Ythdc1	1.18083783567631	9.36089358085368	21.6508458975146	5.4786118243076e-06	0.00222024657474226
Ramp3	-1.24614936856152	8.87258062472111	21.8636010324805	6.19604598662713e-06	0.00244124211873109
Bclaf1	1.17514313297786	8.98701148918784	21.8180899028267	6.62144246738934e-06	0.00253833891776893
Gpr137b-ps	1.22830570173085	8.95663432637817	20.7915214813292	8.26277804816176e-06	0.00308419062724017
Hal	1.35427147248289	9.31736088668556	20.6990892746907	8.63722404368163e-06	0.00311218275176383
Spag9	1.08216491435891	9.63544269158432	20.6657161364033	8.77660110480493e-06	0.00311218275176383
Irs2	1.28286540766354	9.04894250890638	20.3770107052634	1.0081500423197e-05	0.0034877073659177
Rps27	-0.452542173823464	12.3139735118815	20.0946452643651	1.15478495160791e-05	0.00389987375085872
Cxcl3	-1.30268809341302	8.79354628611848	31.5864517119382	1.20477067362198e-05	0.00392705360738011
Ccr7	-1.14183654575678	8.83676376726706	20.2107750563394	1.21820613878119e-05	0.00392705360738011
Gm12355	-1.20354455923433	8.8159898946438	29.0934933795951	1.88052143774161e-05	0.00592740357176157
Inhba	-1.05262997216174	8.74496109295649	34.0688538953892	2.20312025941111e-05	0.00679327342597547
Gm11808	-0.805420005143275	9.77937849327935	18.5946161830601	2.38502094480253e-05	0.00719768874065511
Dynlt1c	-1.08290378877131	8.90178406096286	21.9930903377977	2.63459504642756e-05	0.00743130183721552
AI607873	1.11649079067948	9.20330196135589	18.347511196971	2.68944318591741e-05	0.00743130183721552
Lsp1	-1.25502847541951	9.28768523456477	18.3415717360459	2.69722606794994e-05	0.00743130183721552
Depdc7	1.11142651726888	8.75564683765918	36.2330142612802	2.70783436000172e-05	0.00743130183721552
Cpeb4	1.25658552359945	8.87184417599819	27.6295444809503	2.72439153648623e-05	0.00743130183721552
Tnf	-1.29152879152746	8.96098267101381	18.2328736204206	2.84376032811491e-05	0.00761054650829847
Atrx	1.07188184573302	9.11232939412264	18.172614592787	2.92844353020757e-05	0.00769204500601189
Itgb7	-1.15426651304612	8.88004987660011	23.1641820390809	3.03811258157506e-05	0.00773329498812576
Srsf10	1.18251642173074	9.07326245620151	18.0869885561411	3.05319035064187e-05	0.00773329498812576
Lmna	-1.12401513250838	8.97566237945643	17.9469765057968	3.26888385069996e-05	0.00799737157937448
Fam178a	1.14311229833694	8.95776201702503	18.003587300871	3.27021680487676e-05	0.00799737157937448
Hspa8	-0.689785066024928	11.4700186056012	17.3660789143587	4.34194249650233e-05	0.0104383241305744
Golga3	1.06338667474059	8.75677330690046	33.9206980645726	4.4557159193884e-05	0.0105333124334342
Rpl23a-ps3	-0.666683395013304	10.1693583599426	17.2488719558508	4.59849797274375e-05	0.0105473263436781
Mkln1	1.14639923017911	8.99562915158195	17.2436119313262	4.61036543505386e-05	0.0105473263436781
Pla2g2d	1.40419043976033	9.17912650046264	17.1607601406286	4.80144164460887e-05	0.0108101029027194
Icam1	-1.13163350826444	9.10856951839985	17.0237766720018	5.13513781035729e-05	0.0113807491722044
Epc2	1.06197653006704	8.7616856024319	33.0701229322628	5.2157230726225e-05	0.0113815101633965
Ascc3	1.22511256348406	8.85633990282683	25.8522566180425	5.46622367376552e-05	0.0116427930658227
Fbxl20	1.05684846836085	8.75757296938357	34.6587664656724	5.49962729420557e-05	0.0116427930658227
Tpr	1.0469074958846	9.19650774610628	16.7523966835035	5.86733960400041e-05	0.0122385801386973
Tmem167	1.00166714323868	9.08834320311604	16.63646558064	6.2115984073389e-05	0.0125569797392361
Rps28	-0.467770390315762	11.9651714332748	16.6334284311454	6.22088751325884e-05	0.0125569797392361
Tln1	0.955328049276017	9.28579287536592	16.6124058764011	6.28557220449637e-05	0.0125569797392361
Rapgef2	1.15126579138734	9.10936827639393	16.5110591000081	6.60710871979074e-05	0.0130160041779878
Prrc2c	0.962682618754277	9.21852663558113	16.4126551047329	6.93527009910671e-05	0.0134753248062643
Mmp9	1.21611319574364	9.76286457859286	16.2838557943989	7.38991575526671e-05	0.0141646709557707
Ube2s	-0.965100213532917	9.09656445091184	16.238791796962	7.55602808152952e-05	0.0142899603077886
Ptprc	0.741287667791608	10.0738444859949	16.1452295396995	7.91310828258048e-05	0.0147683589315949
Cep350	1.13172377585702	8.78450407857666	38.3634005073407	8.17520942480356e-05	0.0150223255972372
Syngr2	-0.948465778264328	9.16547118571761	16.0581029996955	8.26100815414907e-05	0.0150223255972372
Rnf20	1.17273908942647	8.84095017710221	26.9938702027554	8.46476068811537e-05	0.0151701715831806
4932438A13Rik	1.11633875312228	8.8913577840304	21.3218564103807	8.55621634697155e-05	0.0151701715831806
Mycbp2	0.969736151761517	9.26641752640151	15.9159785759066	8.862145626831e-05	0.0155186016754285
Sod2	-1.04898203609725	9.20322182850127	15.8670328468596	9.07928736172291e-05	0.0156244195257812
Il23a	-0.949812177250297	8.73724252061963	67.4992886192616	9.14288508629331e-05	0.0156244195257812
Enpp4	1.00291578764908	8.75402590130705	32.8738384827271	9.42275307018502e-05	0.0158499017688451
Fabp2	1.16679839487976	8.78591926314677	29.1830312632329	9.4983195879289e-05	0.0158499017688451
Il1a	-1.24248643327339	9.08421187851071	15.7238220319196	9.7461364133768e-05	0.0160743254520159
Spty2d1	1.15049966109308	9.54700310606731	15.6743566480906	9.98783888436834e-05	0.0162199651807498
Casp8ap2	1.15700708668505	8.86144763432904	22.5686526200062	0.000100631481662859	0.0162199651807498
Dnajb1	-1.32936349393248	9.73484225495972	15.5745685994612	0.00010494106634557	0.0167245402814108
Slk	1.13079016331367	8.90520818269345	20.1795675714381	0.000107803771211758	0.0169138603349516
Hp	-0.950885795084818	8.74478182260874	26.8616593743933	0.000109208907568803	0.0169138603349516
Cd7	-0.945523009868656	9.29118861364677	15.4850070741862	0.000109706369910853	0.0169138603349516
Rb1	1.20661518329331	8.82198118522217	27.6764821489432	0.000119074742782192	0.0181608188346517
Cnn2	-0.96665007184437	9.05862256800619	15.2751133696538	0.000121753054817977	0.0182351746349952
Rab11b	-0.993916228691988	8.99906353666297	15.6079084695802	0.000122133501855933	0.0182351746349952
Tbc1d4	-1.11692376453113	8.78559890779229	28.5243385330728	0.000125995938064806	0.0186158998490751
Sag	-0.833116505009488	8.72835070511477	44.2384974346249	0.000129722464911709	0.0188400357346758
Fyb	0.839408187199487	9.74989313782529	15.1406236850633	0.000130169451635521	0.0188400357346758
E130309D02Rik	-0.864923428278188	8.73981509726115	51.2604039007947	0.000137320879012223	0.0196743368475694
Scamp2	1.15738840366931	8.82482724732292	25.9738657861585	0.000139137080413	0.0197352034857799
Ccl6	-1.1462211203266	9.25396056572225	14.8652866028533	0.000149289690478019	0.020684380546804
Gzma	-0.771125784163175	10.9632172599647	14.8350227295785	0.000151558232451662	0.020684380546804
Stmn1	-1.01194584849445	8.89995105532651	14.8321225298708	0.000151777456815459	0.020684380546804
Filip1l	1.0247949391226	9.03583309753995	14.8006752252403	0.000154175308683566	0.020684380546804
Lst1	0.851955104054544	9.96937026516994	14.7962457288164	0.00015451613308889	0.020684380546804
Mcm8	-1.02531709484586	8.74632971914355	48.5362586424529	0.000154868904834915	0.020684380546804
Gng10	-1.08234363316317	8.87076634380498	20.376936048455	0.00015603699369064	0.020684380546804
Mrpl10	1.08568947420538	8.77420610975933	36.1279388063741	0.000161245180186269	0.0211085293102224
Sdc4	-1.11131802321422	9.80983264501706	14.698770347444	0.000162213035449397	0.0211085293102224
Vps13c	0.921873185701536	8.75245406256385	31.8972696430973	0.000167234061330511	0.0213788963708541
Jmy	1.07758711461359	8.89575275883548	17.4141430463425	0.000167305238096786	0.0213788963708541
Gm29340	-0.875287286336143	8.7333272576889	45.771972420397	0.000182036991534176	0.0229248182565011
Gm26522	1.14319412168985	8.97062331946966	14.4612930163649	0.000182635678439413	0.0229248182565011
Cd14	-1.04996864723136	10.1062147543449	14.4373292520121	0.000184836461055772	0.022997547049255
Taf13	-1.03991217710295	8.81835380116733	22.3378863360246	0.000191602753149208	0.0236321169623336
Brd8	1.14371369015788	8.82250965950558	25.6151213611446	0.000197975148544315	0.0242075819564876
Dusp1	-0.876191375273385	10.0209485491269	14.2329005835493	0.000204740526380216	0.0246651930501234
Ckb	-0.946900018154624	8.9620310848943	14.2284673424536	0.000205195486457598	0.0246651930501234
Gpr4	-0.694723697471229	8.72185160936662	63.0411663226251	0.000208097067751633	0.0248037715041106
Zswim6	1.12465939406212	8.83747575128539	22.5685720953887	0.000214574858763888	0.0253627483058915
Rnasel	1.04462708749893	9.08018671673684	14.0155156384861	0.000228303469693728	0.026762449703602
Gatsl3	-1.11300240224974	8.77666517439756	32.4104791019739	0.000234913613056214	0.0273115957999126
Gm9493	-0.83638915542732	9.03607351917928	13.9317148151728	0.000238106567248079	0.0273211389510997
Trim47	-1.00146346819798	8.74578092100171	51.1587663072074	0.000238848084456878	0.0273211389510997
Sltm	1.08824026478671	8.88941291010889	18.6349506438527	0.000243169796758293	0.0273324784023874
Coro1b	-0.900918616474457	9.185623257041	13.869675757162	0.000245638537448587	0.0273324784023874
Tubb5	-0.901935604428747	9.37390926903905	13.8633426221298	0.000246420914019925	0.0273324784023874
Gm8730	-0.730938856955679	9.85293661491942	13.8614501807586	0.000246655191448505	0.0273324784023874
Gda	1.10428547819245	8.80474219866574	25.1320219657053	0.00025168628013937	0.0276737844767195
Gch1	-1.05256903730374	8.77047911824899	30.5661046334372	0.000254725193268899	0.027736540995984
Spata24	-0.791684586957545	8.72811644922478	50.2916180540395	0.000256167997072328	0.027736540995984
Chd2	0.939144287849124	9.14712929493582	13.6597991126892	0.000272961483684563	0.0289062960048103
Pcmtd1	1.10135241656559	8.81231100982235	24.6347013716174	0.000279793454987669	0.0289062960048103
Tubb6	-0.939782613338016	9.00614679796813	13.6010423723867	0.000281150385292329	0.0289062960048103
Ahsa1	-0.924566657015605	8.97702912825449	14.8049433505348	0.000281386561520217	0.0289062960048103
Pnrc2	1.03046437301572	8.99664680426522	13.596566596934	0.000281784312375285	0.0289062960048103
Eif4g3	0.979647410273772	8.99435931463382	14.4303796270287	0.000282334917521086	0.0289062960048103
Gm8797	-0.898875615413556	9.12229289031174	13.5878870952164	0.000283017777067272	0.0289062960048103
Gm9843	-0.612148385241499	10.242513909279	13.5860806841806	0.000283275179404162	0.0289062960048103
Bcl3	-1.05266208169453	8.85036003163565	19.2186832175135	0.000298206560862213	0.030151521707014
Rabgef1	0.993737203151223	9.07568040955202	13.4709891607975	0.00030017518491902	0.030151521707014
Mapkap1	1.12611839421704	8.80579089519271	25.9958640093432	0.000301855335758319	0.030151521707014
Tiparp	0.954735584820474	9.43533546965827	13.419425577537	0.000308075742976575	0.0305576667019562
Polr2a	-1.07919466101903	8.81777776740918	24.5730191098917	0.000312968552720717	0.0308274024429907
Ncaph	-0.552337801012208	8.716056073036	88.5255184826525	0.000326586341870585	0.0319469011937406
Eif5a	-0.75723658463963	9.58056629219343	13.2482257185748	0.00033585542568	0.0326285846427748
Socs3	-1.04744267740853	9.09974052218073	13.2141324964424	0.000341684708376116	0.0329690877796383
Xrn1	1.09301795028719	8.79613629081973	26.4270900800689	0.000346093390730472	0.0331688422575745
Cx3cr1	1.0031438329844	9.35186499277065	13.1282471543394	0.000356829594843624	0.0337454370575275
2510009E07Rik	-0.863426636396888	8.75119120807789	36.6515676369135	0.000358078503245383	0.0337454370575275
Ptpn12	1.09565780763512	8.806258680525	24.4032173097914	0.000359247109114964	0.0337454370575275
Mtmr14	-0.977626825807617	8.76936492269687	29.3795754656591	0.000361760051242195	0.0337579247817059
Rangrf	-0.693461811035901	8.72395800257327	49.5386927525812	0.000370166949105156	0.0341135649752777
Nfkbib	-0.91970057444462	9.15011107983303	13.0544812780968	0.000370381345614267	0.0341135649752777
Ccl9	-1.25048361985789	9.06684820220926	13.0408778895557	0.0003729370429713	0.0341273485000317
Dip2c	1.07644339298243	8.84463194962769	21.6842989110534	0.000378011246332264	0.0343699456280566
Fcho2	1.10196752863063	8.82362118890809	24.0393603535905	0.000405361239975615	0.0366219352090071
Btg1	-0.583152348189381	11.1742392354263	12.8598195103446	0.000408711518597233	0.0366756395651094
Bank1	1.06196083842348	8.86405183220587	18.3433993328198	0.000411127093263705	0.0366756395651094
Cope	-0.851426197611158	9.05932545402152	12.7856559283709	0.000424355155373638	0.037619084523873
Kpna4	0.898939511984929	9.22746782300698	12.7437851692812	0.000433454705857268	0.0379881161625437
Trip11	1.08243363384898	8.82870822624618	21.5635258610429	0.00043387442317626	0.0379881161625437
Diaph1	0.998112190118759	8.89940728394199	17.2479699226527	0.000439849828738108	0.0382750304958363
Pafah1b1	0.808677486658508	9.20647426296918	12.6790811183692	0.000447908475625987	0.0387386208431646
Smchd1	0.91390375145855	9.20688505772678	12.6435954129061	0.000456042554437305	0.0392030763159924
Hpgds	0.952904075983984	9.25546238412092	12.578871503306	0.000471267698661627	0.0402678375772079
Hspa4	0.901087877487829	9.03647571748182	12.5367259080702	0.000481458694687626	0.0408922762002952
Arhgap15	0.987302828851956	8.92627572459725	15.7778530515443	0.000493772178977181	0.0416884796822163
Arg2	-0.744390307734074	8.72648819755085	43.999212741484	0.000502734736040648	0.0421940206863938
Ptbp3	0.808655163862444	9.20271952348685	12.4223348642977	0.000510263881335113	0.0424747956600543
Dusp2	-1.07208723964634	9.63290683640186	12.4153857679655	0.000512069237018421	0.0424747956600543
Ankrd12	1.02098901901526	8.8780271723283	15.4489125112529	0.000553057554869941	0.0456079555713677
Entpd1	0.939504574492851	9.04039893651064	12.2459673423099	0.0005581530120746	0.0456227018522522
Napsa	-0.976205276518938	9.01370701589296	12.2406376193733	0.0005596693543635	0.0456227018522522
Arl2bp	-0.912985021295442	8.76287248929003	27.6401657080326	0.000576431151983701	0.0467205683413533
