GeneName	logFC	logCPM	F	PValue	FDR
Jchain	1.16444940217593	16.8422420103051	38.2951494826727	6.09791270314413e-10	8.64927937813964e-06
Il1r2	-4.69462940016938	9.2458209729593	19.5228519257846	9.94769019629918e-06	0.0581782721233811
Arl5c	-4.71300697738604	9.20385672823901	19.1167169641682	1.23050490954698e-05	0.0581782721233811
Ramp3	-3.59888888773532	8.75429982283809	16.7389135728066	4.29158251430935e-05	0.127447382023545
Hes1	-4.57839053871954	9.0170120924031	16.6520427371872	4.49264601041825e-05	0.127447382023545
Ifitm1	-4.07549790589892	9.08173031815067	14.8287777372525	0.000117776962141005	0.241060864428347
Clec4e	-4.03316778122713	9.04457837517841	14.8098176937405	0.000118966867667684	0.241060864428347
Tnfaip2	-3.59693323927619	9.68594863703606	14.1051677992862	0.000172937228846352	0.296765128130198
Xlr	-3.07607577800424	8.68036856810482	13.7076507076037	0.000213663465403141	0.296765128130198
H2-Oa	-3.07607577800424	8.68036856810482	13.7076507076037	0.000213663465403141	0.296765128130198
Nfkbia	-3.49750934370008	10.3710726429573	13.5680979679376	0.000230147801003396	0.296765128130198
Hist1h1c	-3.55288464873806	9.37386639520138	13.0501365394118	0.000303366967056928	0.358579755061288
Ifi27l2a	2.75195816704446	10.5963319937718	12.2002139179405	0.000477985788736869	0.468963765432107
Gp2	-2.77277249411604	8.64168459949183	12.0605522819028	0.00051515373580116	0.468963765432107
Dpysl2	-2.77277249411604	8.64168459949183	12.0605522819028	0.00051515373580116	0.468963765432107
Cuta	3.85026774636505	9.01532503432538	12.0110885334339	0.000529005939573725	0.468963765432107
Tnip3	-3.56552939969022	8.90032370957174	11.4547877804291	0.00071329333053029	0.593205274884755
Gsn	-3.59959369894004	8.88304318015214	11.3546373112213	0.000752798572188775	0.593205274884755
Copz1	-3.17464718507521	8.69681786273792	10.9740674714598	0.000924188345496578	0.68993092065913
Pop5	3.59704765757737	8.93327766182808	10.3579226715442	0.00128949157491945	0.914507424932874
Rcc2	-2.40471045025865	8.60175204399829	10.0489000247914	0.00152471324380985	0.939302130145331
Tnni2	-2.40471045025865	8.60175204399829	10.0489000247914	0.00152471324380985	0.939302130145331
Ccr7	-2.40471045025865	8.60175204399829	10.0489000247914	0.00152471324380985	0.939302130145331
Dnajb1	-3.40365306700351	8.76383085136269	9.97243645330118	0.00158934370582966	0.939302130145331
Zfp263	-3.30413884045916	8.7984480717916	9.75792471508803	0.00178587296827708	1
Mea1	-2.92545803806272	8.66684078161743	9.24001431415922	0.00236826234314255	1
Ly6i	3.34428768540757	8.85929215337034	8.97538381211178	0.00273688364409167	1
Ube2r2	-3.14210680536193	8.78311861371099	8.86529152212362	0.00290692919801547	1
Gsto1	-2.94422264046281	9.04680379311114	8.8282496407697	0.00296652454358027	1
S100a4	3.35553553382278	8.88620309156084	8.72053287651471	0.00314697635227741	1
Pnp	-3.09301709081582	8.78775766406955	8.69927492457704	0.00318388598866565	1
Il1b	-1.97984029760514	12.2064707444954	8.69775095592428	0.0031865488549246	1
H1f0	-2.85650072848055	8.80628992047263	8.57578601497904	0.00340717027388584	1
Cnpy3	-3.09818164555006	8.74757369492498	8.52207982488244	0.00350918432231992	1
Cxcl2	-3.07479970347052	8.81617041337713	8.48605146549142	0.00357935504123271	1
Cited2	-2.96448970059337	9.04394063265876	8.46244945604878	0.00362609547521418	1
Gbp2	3.30271217484378	8.88221922556719	8.33078896438629	0.00389846052884111	1
Il22ra2	-2.83262975144719	8.8411836782078	8.29929368032576	0.00396664418674083	1
Mdh2	-2.34047232533626	9.80046421789756	8.29150422241965	0.00398369382728418	1
Bhlhe40	-2.98589412944847	8.68958928904396	8.22382829153724	0.00413499825277607	1
a	3.18029191577207	8.82231015545129	8.17170093082742	0.00425551851742333	1
Gng10	-2.99293664244657	8.69723367701709	8.10204974001682	0.0044221570916419	1
Rbm42	3.24644031125025	8.88073595077494	7.98838357286267	0.00470850100193852	1
Rnf26	-2.86602197922916	8.66626092848415	8.04915704850706	0.0047109656966753	1
Dnajc9	3.1078990305446	8.80544222719796	7.97778095116884	0.00473615578118766	1
Asnsd1	-2.45920597541584	8.6103330424471	7.92654757864874	0.00487213755359435	1
Prkcb	-2.45920597541584	8.6103330424471	7.92654757864874	0.00487213755359435	1
Gm9774	-2.76617046815868	8.64950565575887	7.91609497786072	0.0049003654383084	1
2310039H08Rik	-2.98305905579788	8.71459472189279	7.86214371155918	0.0050487363899475	1
Nfkbiz	-2.85331492003269	8.74635335509513	7.67159924128991	0.00561040072156964	1
Psmd7	3.06261698922123	8.79515309372407	7.73836607236469	0.00574301341960873	1
Mettl1	-2.91551343314022	8.67461196308201	8.14542285094769	0.00579697655063512	1
Taf10	-2.15218631067479	8.87982702184946	7.58578798358721	0.00588377354459828	1
Lsp1	-2.26246315606604	9.67144057550067	7.57967769315933	0.00590375013598344	1
C1qbp	-2.90239456558963	8.71786817280454	7.55868862352283	0.00597289909277399	1
Ankrd39	-1.92986812295216	8.56048335773668	7.54188835089678	0.00602884306531913	1
Sept2	-1.92986812295216	8.56048335773668	7.54188835089678	0.00602884306531913	1
1700025G04Rik	-1.92986812295216	8.56048335773668	7.54188835089678	0.00602884306531913	1
Dut	-1.92986812295216	8.56048335773668	7.54188835089678	0.00602884306531913	1
Rab9	-1.92986812295216	8.56048335773668	7.54188835089678	0.00602884306531913	1
Dhcr24	-1.92986812295216	8.56048335773668	7.54188835089678	0.00602884306531913	1
Cd9	-1.92986812295216	8.56048335773668	7.54188835089678	0.00602884306531913	1
Gm9844	-1.92986812295216	8.56048335773668	7.54188835089678	0.00602884306531913	1
Mical1	-1.92986812295216	8.56048335773668	7.54188835089678	0.00602884306531913	1
Aifm2	-1.92986812295216	8.56048335773668	7.54188835089678	0.00602884306531913	1
Pip5k1c	-1.92986812295216	8.56048335773668	7.54188835089678	0.00602884306531913	1
Plet1	-1.92986812295216	8.56048335773668	7.54188835089678	0.00602884306531913	1
Ccdc69	-1.92986812295216	8.56048335773668	7.54188835089678	0.00602884306531913	1
Cenpv	-1.92986812295216	8.56048335773668	7.54188835089678	0.00602884306531913	1
Crlf3	-1.92986812295216	8.56048335773668	7.54188835089678	0.00602884306531913	1
