GeneName	logFC	logCPM	F	PValue	FDR
Rps27rt	-1.68373695478739	10.9367250914502	43.4064542649579	9.48115105932034e-10	1.344806466254e-05
Map2k1	-1.79902792578615	9.47717386002804	40.4335002273984	1.52476064629557e-05	0.0869398839808177
Gm42418	2.87144965067605	10.9938702731012	19.7533224674563	1.83883003343523e-05	0.0869398839808177
Ramp3	-1.76977819859357	9.68490982852828	18.7221595634408	2.94694641451852e-05	0.104498719858827
Ctla4	-1.61725719289908	10.0549089661459	17.0663068856215	6.34249952853583e-05	0.157469186096338
Gm12355	-1.85795114497554	9.50560114922599	39.274240350664	6.66113308360145e-05	0.157469186096338
Wdr89	-1.0897188804376	10.8379416841388	15.9881329953503	0.000105143955002384	0.193363348189891
Opa3	-1.62504848863168	9.47053433287206	33.1077421362913	0.000116134344504171	0.193363348189891
Siah2	-1.62567299792779	9.47032853578624	31.7393194336778	0.000122692479815921	0.193363348189891
Ctla2a	-1.76584158990591	9.64088826239097	15.0544053921246	0.000163593503367661	0.23204102517669
Plac8	-1.59292619517091	10.014272546965	14.4784353788894	0.00021532462592403	0.238349374806654
Gm8797	-1.34637983981424	9.85846365378047	14.4061768557231	0.000222902065813143	0.238349374806654
Gm11808	-1.10471344018521	10.4597827113654	14.3707745807263	0.000226713457701808	0.238349374806654
BC005624	-1.71066687804651	9.54527531599477	24.4912899320533	0.000235257420141932	0.238349374806654
Stag1	2.0125215823909	9.62273566187704	17.2175116402439	0.00033685654311801	0.31853154717239
Gm26917	-1.49302983358135	9.65222178426782	15.997123538617	0.000377126281825064	0.334322448837919
Gm21975	-1.67647392406512	9.51407412424907	28.1072770430202	0.000401456586589911	0.334956483775958
Exo5	-0.847943617597622	9.44344864816139	53.0404976333121	0.000464388435844301	0.365938087445309
Ccr2	-1.52415789248806	9.6559618421393	12.2824172963353	0.000637496589979588	0.431910847876179
Dusp6	-1.42198211257792	9.47803382055954	28.6059667180442	0.000665452673155413	0.431910847876179
Irf2bp2	1.89613349127303	9.60202132094087	16.1273904575787	0.000698879587074926	0.431910847876179
Ptprc	1.23594937246616	10.6524082730538	11.9869575118981	0.000720884585526447	0.431910847876179
Srrm1	1.74519612882577	9.77832605132461	12.0177444264761	0.000731339659569172	0.431910847876179
Fosl2	-1.46153799193833	9.69724163652918	11.8938641947356	0.000754681614332798	0.431910847876179
Csnk2a1	1.85988770691034	9.60637512578174	15.0960106487886	0.000804509805842164	0.431910847876179
Chst2	-1.40865031215086	9.46297796961222	28.2131575193434	0.000844670762628697	0.431910847876179
D17H6S53E	-1.38817191531241	9.46248326399956	28.4397308397123	0.000873257701095803	0.431910847876179
Uggt1	-1.37769875342832	9.46179465963099	27.2634177971511	0.000873919975959038	0.431910847876179
Gm156	-1.44118406595341	9.47717864499623	30.4502391547496	0.00088306645434357	0.431910847876179
Smarca5	1.72571829112733	9.75151658762145	11.3512271798525	0.00100738208887284	0.47629025161908
Rrad	-1.3404615717173	9.71902886259079	11.1695494814195	0.00107982933404916	0.483477225446124
Klrc1	-1.37123250321003	9.46298600462975	24.2861618386333	0.00109075516175099	0.483477225446124
Ciapin1	1.79563038020992	9.5988798234934	15.735720573364	0.00114722657975459	0.493098842643607
Satb1	-1.35299203793808	9.72842193299337	10.8571640267132	0.00126152625227838	0.516267095641752
Wnk1	1.51310691064602	9.98220444523355	10.8303933235293	0.00127848915806842	0.516267095641752
Azin1	-1.49641804078693	9.55225113763673	17.1686111071463	0.00131032257777094	0.516267095641752
Txk	-1.30407978233371	9.73858612477377	10.6627635027169	0.0013901627274767	0.522369028083135
