GeneName	logFC	logCPM	F	PValue	FDR
Gm42418	3.00756772734297	10.8198595502849	2647.9137351654	0	0
Rps27rt	-1.56212590941013	11.0939611434353	5033.37869533652	0	0
Wdr89	-1.05323383704851	10.9378062994726	2369.43002709614	0	0
Ptprc	0.991603522870813	10.5905291219566	1375.36634604356	1.44237651592228e-272	5.1146671254604e-269
Uba52	-0.788924248613509	10.8621457523536	1207.44518581707	2.88510686679655e-242	8.18447115972846e-239
Rps28	-0.583238055600359	11.7814652509119	1151.6129135363	4.84926157414431e-232	1.14636543612772e-228
Prrc2c	1.22091163875765	9.9154826495976	1020.8134759846	8.81785504783054e-208	1.78674937140612e-204
Gm11808	-0.864987659977772	10.4476388004699	981.813706611521	1.83239334918535e-200	3.24883340810563e-197
Gm2000	-1.14560181958838	9.81437607560042	840.177277894097	1.49351969813486e-173	2.35378704426054e-170
Jchain	-1.71059933630221	12.0012490528564	828.049320764141	3.18761986091687e-171	4.52132001072449e-168
Hist1h1e	1.39763266700427	9.50386191546676	1220.53162166583	1.41072024535544e-167	1.81905963273833e-164
Atrx	1.12737121433913	9.82297757297474	776.841011346606	2.41327813204522e-161	2.85249475207745e-158
Tpr	1.01450415689031	9.9424027800232	721.574404145971	1.33639684994511e-150	1.4581117630478e-147
Nsd1	1.22279336307824	9.61615558342607	814.55035098624	9.26332645777662e-150	9.38507303407882e-147
Gm8797	-1.06567229836438	9.76045861602083	661.837646958837	6.83539692192921e-139	6.46355132937627e-136
Rpl41	-0.332509310361498	12.6874016576322	638.986992939792	2.19065310938791e-134	1.94201398147238e-131
Trip11	1.18764046806726	9.56761358048727	766.598397667639	8.12535444279804e-129	6.77941337744985e-126
Srrm2	0.725314218757573	10.3194332924964	589.957048398506	1.14701578024435e-124	9.03848434832549e-122
4932438A13Rik	1.1627554831517	9.57191311675471	730.851590126667	1.63109064763103e-124	1.21765209189466e-121
St8sia4	1.01411542612389	9.79806291390676	586.974551782888	4.49823321003119e-124	3.19014699255412e-121
Actb	-0.699323899156432	13.005085983922	580.658285653172	8.14232945731668e-123	5.49956195345618e-120
Mycbp2	0.966634667130149	9.80548746990634	570.778073708532	7.59403991500571e-121	4.89608464338368e-118
Kif13b	1.18029944881447	9.44760720042817	1377.98094997807	1.76144458181694e-120	1.0862752151518e-117
Hp1bp3	0.998511351274493	9.70595552749655	565.354486377922	9.18223226000945e-120	5.42669926566559e-117
Hspa1a	-1.48751125836007	10.0961872275312	559.603927788929	1.29310701463043e-118	7.3365719582072e-116
Prpf4b	0.970112172433285	9.76402151996867	558.091708772833	2.59338097087313e-118	1.41478906503325e-115
Hspa8	-0.524201701700415	11.3772726463507	549.240073431316	1.52867880720172e-116	8.03065933383306e-114
Rps27	-0.292978090533577	12.9946847375041	545.483816075074	8.63624527009462e-116	4.37487510396508e-113
Tln1	0.880910414312064	9.91216835982158	543.470582917694	2.18549951675683e-115	1.068935349851e-112
Kmt2a	1.01126974514374	9.64268013424056	534.022927650028	7.38187289784198e-111	3.49014950609969e-108
Chd2	0.988755941592034	9.7180325021244	514.659325191495	1.32860013624053e-109	6.07898849433409e-107
Pfn1	-0.393631319347716	11.7656336164607	503.140052830292	2.7725482318399e-107	1.22893200376303e-104
Rpl13-ps3	-0.945116894131872	9.67726055159515	496.962213253265	4.88074742556245e-106	2.09783398436902e-103
Xrn1	1.07810593729205	9.55844935175321	625.142771451959	1.07101634006108e-105	4.4680281668901e-103
Cntrl	1.02324149871824	9.59776448366948	556.646457616432	6.78829585671137e-104	2.75100538375983e-101
Mzb1	-1.12963141076902	9.53344992332302	481.682921255653	5.94516780167036e-103	2.34239611385812e-100
Scaf11	0.969598706965782	9.64019272992812	500.726048046211	1.91080551087104e-102	7.32509874762021e-100
Samd9l	1.104348795588	9.51306903318523	705.639482142087	3.53478044285404e-102	1.31940331056425e-99
Rpl23a-ps3	-0.579000895058423	10.5433335652081	473.112554159292	3.22171555172334e-101	1.17171316373446e-98
Zcchc11	0.934463035164144	9.65476470253624	459.193534190703	2.54629897339721e-98	9.0291761596665e-96
Smarca5	0.907459396990693	9.68352182988758	454.617511663333	1.80978157608186e-97	6.26096143296223e-95
Nrip1	0.90788063861252	9.87501987680842	440.206761663289	1.53631393848709e-94	5.18835164369069e-92
Suco	1.04810309930687	9.52010212577904	628.928732674383	9.227757805285e-94	3.04387248163168e-91
