GeneName	logFC	logCPM	F	PValue	FDR
Hspa1a	-5.08737159996382	10.2362720024559	57.3431357298595	5.47885173325149e-14	7.77120329844391e-10
Ccl20	-3.75683026632496	10.4900188864459	35.2886911874695	3.32108730279816e-09	2.35531511514445e-05
Actb	-0.750618674541444	13.3595605394486	28.7735382022592	9.03467546041499e-08	0.000427159455768421
Cdkn1a	3.18440678960882	9.95313694090875	28.4860564223592	5.18511370390485e-07	0.00183864131940466
Ctla2a	-2.83401897143021	9.94307038500632	26.1782438068454	1.01850451317135e-06	0.00288929360296449
Gzma	-1.44644807352021	11.8483783452292	19.9570946274844	8.3425624835135e-06	0.0197218177110259
Gm42418	2.40145216145266	10.2807482110287	17.8801779679541	2.45395243613932e-05	0.0497240876488574
Rps27rt	-2.0073498669711	11.0082565402532	17.1131117795246	3.66124121996853e-05	0.0649138068300421
Ifng	2.74784488289624	9.83898676831226	22.5137802401367	5.49067235461156e-05	0.0865329963086782
Grn	-2.35798010079641	9.67771339815806	22.3211285190188	7.45400759535711e-05	0.105727643732545
Rilpl2	2.58879715457532	9.79842983693333	22.0014418133207	0.00010865478637144	0.133589584834214
Rps28	-1.23133536634833	11.948257225289	14.9625617885603	0.000113019953328438	0.133589584834214
Gadd45b	1.7649348148438	11.2783415491443	14.5202400813214	0.000142667156378304	0.155660842005374
Pon2	2.46939150883412	9.76270814633365	20.6733382814997	0.000230033407173247	0.23305670338181
Tbc1d4	2.42043184895913	9.70582255686647	20.5398265303662	0.000303140183118169	0.286649357156541
Smg6	2.35151953037118	9.79550762610293	18.882684693681	0.000344042360541653	0.294077289940157
Rpl41	-0.665103569975207	12.8702631335065	12.8108712389279	0.000352461500915303	0.294077289940157
Hspa1b	-2.38448632419667	9.70415593795474	20.4213406343351	0.000535408117698541	0.42190159674645
Rassf2	-2.15903910373922	9.66359729088997	20.036504892157	0.000566490558634409	0.422900109666866
Nsf	-2.20795416035136	9.68492681276902	18.9292887083917	0.000773095493903388	0.548279324276283
Dido1	2.25220970677982	9.73653228721464	17.6996547895076	0.000871421000799059	0.573830862852335
Blk	2.13751309826827	9.76847471094212	16.1402694966913	0.000997580827907137	0.573830862852335
Ahr	2.21232966477901	9.75777697295076	15.9170273111278	0.00101218192473974	0.573830862852335
Tnfrsf13b	-1.84840006985596	9.64563120166704	16.6015815005176	0.00109398756607723	0.573830862852335
Fam111a	2.14471027334236	9.75125150488262	16.4165975077908	0.00121499579220871	0.573830862852335
Rpl39	-0.836106278116858	12.3687747925826	10.4667009653375	0.00123442482252561	0.573830862852335
Wdr89	-1.48152674899945	11.029404820586	10.4372847154494	0.00125413998154041	0.573830862852335
Pnkp	-1.82570057894286	9.64652504053539	16.0536894268955	0.00135233633292439	0.573830862852335
Gcnt2	2.14850037494004	9.71805609460487	16.4726075491102	0.00135291950763293	0.573830862852335
Zfp800	2.15743004757836	9.71972022431344	16.6919571334957	0.00136046634681502	0.573830862852335
Batf	1.79130285151685	9.94995226002857	11.1242111564055	0.00137876979430449	0.573830862852335
